Point,X,Y,Z
Point 1 : Left handle,1.5747048139572144,0.6573842485745748,-8.87306677500407
Point 2 : Right Handle,1.5750434358914693,0.6572327574094137,-8.873154417673748
Point 3 : Back left wheel,1.9528476238250732,0.09594847237070402,-8.414524459838868
Point 4 : Back right wheel,2.0105202833811444,0.09385787099599838,-8.862392775217693
Point 5 : Front wheel,1.1166799306869506,0.10012166226903597,-8.750518366495768
"Bike center, X, Y, Z"
Position : ,1.5491819421450297,0.32865425149599714,-8.694488492012024
Rotation,Qw,Qx,"Qy, Qz"
Bike  : Quat ,0.6604002024141624,-0.0037149018879827824,-0.7509042917792099,-0.0007188482865346223
